invoice_number,issue_date,due_date,total_amount,vendor_name,vendor_id,vendor_email,vendor_phone,vendor_address,product_id,description,quantity,unit_price,total_price,discount,tax_amount,shipping_cost,customer_id,customer_name,customer_email,customer_phone,customer_address,payment_date,amount_paid,payment_method,invoice_status,payment_reference,currency,notes
INV161,2025-06-02,2025-06-16,660.8,"Rodriguez, Figueroa and Sanchez",0240f59a-a638-4854-bb2b-8b80c08bd674,candice94@tyler-pierce.com,8328182688,55543 Barajas View,89aa4293-34a0-4cd4-9a9a-f29ed5ee2587,USB Hub,7,80,560,100,100.8,100,6c98fd9b-af76-46c2-9d6d-6b413692a531,Gregory Allen,flemingmanuel@cruz.com,8588770435,801 Ellen Trail,2025-06-08,0,Debit Card,Unpaid,edba9484-2759-4ad4-8a39-8bf727a158a0,GBP,Position vote section child learn forward.
INV162,2025-06-06,2025-06-20,333.2,Blake and Sons,2804d0ac-7957-41bb-87e3-c39aa9252745,angela93@russell-hayes.biz,5061809190,4914 James View,eeafca83-c044-46bf-99f4-8bbd0dec644c,Mouse,6,40,240,50,43.2,100,da2d2156-913a-4734-8cb6-8571abc53545,Brandy Myers,kennetheaton@hotmail.com,882100996,53682 Jack Ridges Suite 312,2025-06-12,120,Debit Card,Partial,2d90e4ee-0de4-433e-92c0-620c1667c518,USD,Leave near fact attack better rise maintain.
INV163,2025-06-02,2025-06-16,79.8,Davis and Sons,d77fbeeb-14fc-4a5d-9b4b-f377a542deb9,craigharvey@stewart.com,9299556205,2577 Howard Inlet Suite 812,a8cf4f62-90d9-470c-b2de-c75c90fcc9f1,Router,1,110,110,50,19.8,0,2ddc756b-28c2-4ce9-b23b-80d423ef5561,Ronald Vance,jessica11@atkinson.com,9308488725,78816 Shaw Shore Apt. 928,2025-06-10,55,Credit Card,Partial,abda06b2-20d2-4528-9b6d-6b7c54b2a582,EUR,Save low grow despite.
INV164,2025-06-03,2025-06-17,283.2,Blake and Sons,7b6b911e-caeb-4959-bca2-f582585409d9,jim38@hughes-hardin.com,5184498926,463 Gomez Ways,92803da2-e40b-40e4-8a08-6989833c8f55,HDMI Cable,4,60,240,50,43.2,50,a1298fa2-227d-4660-a93f-c26697a418b8,Adriana Macias,jerryrobertson@yahoo.com,2225913651,260 Bradley Ports,2025-06-08,120,Credit Card,Partial,43ace875-1017-4b44-bb53-f64b7cd61da4,AUD,Argue election conference when.
INV165,2025-06-01,2025-06-15,5260,"Rodriguez, Figueroa and Sanchez",2649a478-d396-4f0a-ab77-af9eaf32baf8,johnsjessica@valentine-robinson.org,7236929298,913 Cruz Coves Apt. 388,50deef43-cde5-435a-b011-7b0a349651d6,Smartphone,9,500,4500,50,810,0,a79055b0-6001-454d-81d7-7831850f1cdc,Cassandra Valenzuela,davisdonna@ryan.biz,5086376599,3149 Scott Avenue Apt. 981,2025-06-08,0,Cash,Unpaid,a33b3dfd-9048-45c6-b820-5aa7996f7e88,INR,Gun choice prepare effect talk interest.
INV166,2025-06-06,2025-06-20,8260,Doyle Ltd,4359ff43-1067-43b6-9690-636b6f74e55d,afischer@bowers.net,4495621372,8902 Oconnell Avenue Apt. 279,67cba27a-6528-4970-ab6e-f8dd5a669316,Tablet,10,700,7000,50,1260,50,66414954-c798-4445-86a3-cc71ff2f6883,Bobby Johnson,hmendez@yahoo.com,2770384309,053 Theresa Corners,2025-06-13,3500,Cash,Partial,fde6849b-468b-42af-9ca4-364d5d9ad9f1,AUD,Customer address region try near risk next on.
INV167,2025-06-01,2025-06-15,640,Williams and Sons,84399ed9-5a64-445e-b498-16ad6994bf84,catherinelee@andrews-green.biz,8184518489,57790 Wilson Cliff Suite 335,9d23c3cf-7e1f-48c4-a9d6-290df4adfa22,Keyboard,10,50,500,0,90,50,ad0205f5-1417-42f9-ab91-731a1eb05b4a,Mercedes Baker,rosskaitlyn@yahoo.com,8275539423,3333 Moore Coves,2025-06-11,250,PayPal,Partial,46c937e0-d0c5-4550-b69a-053958f42098,AUD,Share must amount.
INV168,2025-06-06,2025-06-20,955.8,Blake and Sons,534fc96d-19ca-4c1b-94bc-f47a61223189,kvillanueva@henry-joyce.net,6392086780,1875 Alexander Fords,226cbc6a-7fe5-44b6-abe8-c7562d36226c,Speaker,9,90,810,100,145.8,100,027e789c-ce40-483b-b915-ad7e2648c819,Scott Lopez,josephmullen@yahoo.com,2763655647,43866 Dustin Streets,2025-06-16,810,Debit Card,Paid,50bf2995-9ee4-405d-9f06-bc767b777e71,INR,Military result size feel no nothing huge real.
INV169,2025-06-06,2025-06-20,4906,"Guzman, Hoffman and Baldwin",9256d707-9cc0-4b67-a19b-224a6bfc2a47,gcombs@garner-green.com,5061593998,877 Patrick Heights Suite 225,c55be95d-06bf-49c4-8dc7-81048c662766,Tablet,6,700,4200,100,756,50,7922b440-e0f1-444c-afd1-b5881054b2d5,Terry Miller,lawrencedelgado@hotmail.com,9647598762,413 Randy Court,2025-06-11,4200,Credit Card,Paid,411920f6-d056-4199-b728-ddc20f5e8b47,AUD,Model you billion peace base use.
INV170,2025-06-06,2025-06-20,4130,Blake and Sons,c21f84fc-d0bc-4ad5-85f8-0d9b00060d5a,scott22@roberson.com,7848728299,7831 Parker Loop Suite 240,73e88db6-9e23-43d0-b491-5c14a30b669c,Smartphone,7,500,3500,50,630,50,1c405045-4a22-4ae9-a2f9-cafe2eb23ca3,Hailey Harrison,earroyo@smith-jordan.com,853686632,63894 Wong Place Suite 631,2025-06-13,3500,Debit Card,Paid,3f5560cd-3ab7-427e-8f32-ea5463ccf604,EUR,Red man fly charge wide.
INV171,2025-06-02,2025-06-16,4130,Garcia-James,c4a531cd-f97f-4994-9f38-df55033ac4d6,joseph70@davis.info,5647570512,723 Roth Village,b0d515ab-c891-455d-94c1-76b90ac013d5,Smartphone,7,500,3500,100,630,100,f80590f0-0249-4a09-be3b-1a40ca0553a2,Janice Proctor,gonzalezjill@boyd.info,4520881474,36502 Richards Locks,2025-06-11,3500,Credit Card,Paid,1a2e9864-f8ea-4a36-af99-9b2a05aa5eab,GBP,Read choice side eat matter rather full.
INV172,2025-06-02,2025-06-16,129.8,"Henderson, Ramirez and Lewis",436adb9d-d1c5-4a00-8bb1-3407730ad7de,browndeanna@herrera.com,7306524077,92855 Hill Village Apt. 182,869c3a8e-7d6a-47c2-a86d-8706637b3648,Router,1,110,110,50,19.8,50,d617b9c0-a449-464f-922d-dab608252b39,Jordan Parsons,nicoleharvey@yahoo.com,5186387829,18102 Morgan Flats Apt. 731,2025-06-10,110,Cash,Paid,a008ac20-c272-48e6-bf39-a117f83b1806,INR,Red eight hand paper audience us decade man.
INV173,2025-06-05,2025-06-19,1316,"Guzman, Hoffman and Baldwin",acab8b69-5ba3-4cb5-9399-ad15a37ce1c5,wardjulia@short-bauer.com,8014138113,392 Reese Trafficway,058e389e-509d-47cd-9b10-7e7f36fea0b4,Laptop Stand,8,150,1200,100,216,0,38cd9122-fc01-45e1-8ce2-afa201ae7eb1,Maurice Andrade,andreawagner@moore.com,8556659398,7760 Tonya Ranch Apt. 824,2025-06-13,1200,Debit Card,Paid,77d2b94f-1478-4c9d-9503-0b43e3c7ca9a,USD,Try memory number occur behind.
INV174,2025-06-02,2025-06-16,894,"Mcclain, Miller and Henderson",8a38d5aa-51be-4a8e-8a8a-eb94863dfcd6,michael93@scott.com,9315727919,05566 Molly Forks Apt. 604,bc54b8c1-ff40-4dcc-9db1-f7f98fa8ae34,USB Hub,10,80,800,50,144,0,32339053-9242-4a54-a6f9-c0e165339cf0,Erin Wolfe,nunezwendy@mullins-johnston.com,6462251790,8622 Hansen Oval,2025-06-12,400,Debit Card,Partial,236eb832-27f6-42ac-9b0c-417075dacbbe,EUR,East author since food under become public.
INV175,2025-06-05,2025-06-19,120.8,Davis and Sons,8be27516-342c-4348-b63d-75f189bab9c8,melvin04@huerta.info,7033521103,1477 Martin Streets,8787c3f4-ec19-44eb-bf55-17400a2d36a6,HDMI Cable,1,60,60,0,10.8,50,05804493-b664-4199-ad25-459e8f8937fa,Deanna Webb,bennettrebecca@williams.org,701645104,7981 James Mount,2025-06-10,30,Bank Transfer,Partial,30c3ef8a-592a-443d-9d82-2e3a6c6d282b,AUD,Four hotel church get goal.
INV176,2025-06-02,2025-06-16,247.8,Arnold Ltd,fee543b3-6e18-4184-a29f-e85be8d91a20,lisa46@raymond.com,5621689363,578 Jamie Dam Apt. 248,2f191516-5fbb-4da5-a64a-1fe8b646e2b1,Charger,7,30,210,50,37.8,50,7800e27a-9ace-43cc-989c-83f68098580d,Patricia Douglas,carlos81@stewart.com,6647423122,993 Jerry Burg Suite 172,2025-06-08,210,PayPal,Paid,fef97d57-3c77-4a4a-8d65-4036a00f230b,USD,Man case cover allow share address.
INV177,2025-06-05,2025-06-19,336,Williams and Sons,fbdc532e-6546-466d-89b1-cad184c9b276,katherinejones@camacho-burns.com,3660965699,177 Natalie Gardens,b11464aa-52f6-4081-8005-64b8171603b1,Keyboard,4,50,200,0,36,100,74661e6f-e1ee-41f1-b3b1-d0dce552d0a8,Kristin Black,kellysanders@ayala-mitchell.com,4908277181,6570 Shawn Station,2025-06-13,0,Cash,Unpaid,38f95001-69bd-40d8-b340-2dd3451575b9,EUR,Responsibility but box last.
INV178,2025-06-04,2025-06-18,209.6,"Gardner, Robinson and Lawrence",e1f8d192-9ba4-45a6-8178-de26ceb557ac,gacosta@herring.com,9222206447,09407 Foley Plains,e5c482ff-5e5a-40c1-92a4-73f94c9e903a,Router,2,110,220,50,39.6,0,c4bd338e-17d7-4fc0-892c-d030ee757637,Daniel Keller MD,burkeadam@hotmail.com,9830220502,1016 Evan Haven Apt. 795,2025-06-14,220,Cash,Paid,b5103e9c-8618-440d-95d6-a6585ce9dbbc,AUD,Star serve successful assume likely business.
INV179,2025-06-05,2025-06-19,849.6,Dudley Group,bccaba38-1e30-414f-8bf6-aa23a01e31f5,swarren@salazar.org,7946954899,772 Jeanette Fields Apt. 107,e55b93ad-8976-4471-9d7f-57d1e45def26,Speaker,8,90,720,100,129.6,100,75eb0e8f-a090-460d-a7c7-655a7b434a72,Rebecca Duarte,cookann@hotmail.com,344144885,9902 Mark Junction Suite 702,2025-06-13,720,Bank Transfer,Paid,86eced99-5447-4290-8640-4b2adc0228af,EUR,Leg sport until argue minute north.
INV180,2025-06-02,2025-06-16,1038.4,Blair PLC,8188de48-719b-4dd6-97b4-e75be9d18ec2,clarkgina@jones-hernandez.com,6829962914,73574 Alicia Extensions Apt. 503,1e1e5d91-abce-490f-b0ec-f41bc5d56016,Router,8,110,880,50,158.4,50,51b3ccf5-8843-4a38-86d2-8109495c7ac8,John Porter,sandra84@thomas-wiggins.net,3076810409,84094 Manuel Fields,2025-06-12,440,Cash,Partial,892fca69-8e20-47e1-90c4-cb4bad9e5c1e,GBP,Chance event address performance method.
INV181,2025-06-06,2025-06-20,1720,"Gardner, Robinson and Lawrence",abbe274a-c226-4b53-b680-873b32b9c542,joseph49@jackson.org,8702070160,997 Edwards Viaduct,b6da99cd-d14b-456c-a7db-09431a59c3eb,Monitor,5,300,1500,50,270,0,8208fd42-209c-44a5-931e-1d4d9abc9859,Angela Livingston,christopherlang@hotmail.com,1747733294,7701 Rodriguez Neck Suite 245,2025-06-13,0,Credit Card,Unpaid,8ca33a54-59ae-4302-8ae3-297e34e24142,INR,For power society mouth.
INV182,2025-06-02,2025-06-16,2124,Doyle Ltd,0fbd4c81-a900-4ecd-a51e-01ad7e8a2078,amydickson@jones-clark.org,6958321971,172 Blanchard Cliff Apt. 965,6f689d65-61ae-4f21-a7f1-c18b61fe800a,SSD,9,200,1800,0,324,0,b636cc4c-5170-4a8a-a00e-0b6064eec4c1,Robert Clay,donnachavez@price-lane.com,5494651909,58008 Rodriguez Haven Apt. 369,2025-06-08,900,Debit Card,Partial,3d134526-69d7-4427-972d-5d57669be896,EUR,Deep community cause new successful growth individual.
INV183,2025-06-04,2025-06-18,463,Blake and Sons,5df1bf6f-938b-43f8-8bd1-8d4bed3353fc,dennisjones@thomas.biz,1267969278,3269 Becky Vista Apt. 846,090b23ed-2ae1-40bc-8a09-90884b6c14e4,Keyboard,7,50,350,50,63,100,cc585b60-fa4e-4355-b5e8-a7e15a589b67,Andrew Webb,carpentersuzanne@gmail.com,8478189137,058 Taylor Passage Suite 956,2025-06-12,0,Debit Card,Unpaid,ab89736b-df6b-4b3f-bf59-477849d93a08,GBP,See risk nor article list college appear wrong.
INV184,2025-06-05,2025-06-19,2260,"Guzman, Hoffman and Baldwin",c536d2ce-69b6-43b7-be5b-9fc9c0b4f6d6,todd28@york.com,9444019292,372 Matthew Corner Apt. 927,958c9cfd-a783-4a8f-815e-38051928aae5,SSD,10,200,2000,100,360,0,cd649aff-445f-4de1-8534-17b555c06c8e,Matthew Barber,beckywilkinson@may.com,7674783667,47658 Connor Place Suite 694,2025-06-13,1000,PayPal,Partial,06fd01e6-9fd3-4d40-bcc4-f0dbcf13cb3d,INR,Leave push drop public side mind.
INV185,2025-06-06,2025-06-20,793.4,"Henderson, Ramirez and Lewis",cd9e84ec-90e9-4294-a5dd-2836e65fa9fa,amy01@jenkins.com,5344300910,119 Nicholas Track,12068ad6-12aa-4a4b-88ec-a4c81a71064d,Speaker,7,90,630,50,113.4,100,424d9430-b724-49b7-b10b-7fa9e9a0c20d,Stephanie Dominguez,steven17@yahoo.com,5421406650,73962 Rodriguez Plains Suite 391,2025-06-16,630,Cash,Paid,2e0f0484-fe43-441a-b0b6-148cad7eeff7,EUR,Road since affect marriage present a also.
INV186,2025-06-01,2025-06-15,1770,"Mcclure, Ward and Lee",62588ce9-f7ae-4de8-8a11-9bac8df21ad5,rebecca90@zimmerman.biz,8306719855,8517 Holland Fall,04e1502a-a761-40c7-bd28-3421243f45fe,Monitor,5,300,1500,50,270,50,bc4716ad-0970-409d-9270-c935ecc0baa6,Elizabeth Price,tom73@johnson.org,7618478700,1387 Joyce Fort,2025-06-09,750,Bank Transfer,Partial,b336d143-26cf-4f51-8435-2e6f63f6bf77,EUR,Trade peace drug possible add plan toward.
INV187,2025-06-01,2025-06-15,531,Doyle Ltd,3e5f7e23-704c-49e2-aa3d-d7698dac210d,marybrown@wilson.org,1365651982,1142 Jackson Land,1e14fe04-3120-4bde-bc52-d68a8ec61be5,Laptop Stand,3,150,450,100,81,100,012b809e-6b35-4d15-990c-ee674d1b6d80,Amanda Garcia,alexistucker@gmail.com,2194672324,90927 Courtney Tunnel,2025-06-09,450,Cash,Paid,74c88361-18e8-44e9-8b2f-bbc3d21bf733,USD,With peace television would medical less phone.
INV188,2025-06-02,2025-06-16,4180,Davis and Sons,ad463549-bf41-43cb-b2e1-5f176b47ed61,hogangina@jimenez-moore.com,5436459701,78113 Watkins Islands,75656daf-772d-416d-9a05-d2fc1c71a821,Smartphone,7,500,3500,0,630,50,22f1c32b-47d5-4c92-8f45-55da91941591,Crystal Rodriguez,youngrobert@bennett.com,9706239726,543 Martinez Square,2025-06-07,1750,Bank Transfer,Partial,31979167-0d95-4e72-86c3-e49735469cb1,INR,Commercial gas though page smile point.
INV189,2025-06-03,2025-06-17,1062,"Rodriguez, Figueroa and Sanchez",032e2730-c0c9-43ed-8ef9-006015457c64,christophervincent@atkins-robinson.info,4063356939,07806 Mendoza Union Apt. 773,af4637b3-c9a6-4c37-b507-8c5dcb62f5b6,Laptop Stand,6,150,900,50,162,50,93423b4f-8add-46f9-9ccc-e19ff2335074,Jennifer Robinson,john10@yahoo.com,2799077262,5804 Mullins Square,2025-06-11,450,PayPal,Partial,93ffc45f-2b80-444a-a7d3-f7709c8d1ade,GBP,Per friend usually method.
INV190,2025-06-02,2025-06-16,368.6,Davis and Sons,9ef6a99f-73b4-4af3-8ad1-d634e6426f0b,rodriguezmichael@williams.com,2538179335,0155 Tucker Pine Apt. 788,55fc0f2b-a509-49f1-8505-d91df28bffb9,Charger,9,30,270,0,48.6,50,d5bf1edb-3b79-4a1e-8d4f-2875df2ddf20,Michael Steele,patriciaellis@myers.com,1241272380,5670 Lopez Brooks,2025-06-12,0,PayPal,Unpaid,e3528539-5d2e-4b90-acb6-0e81e8f60796,USD,Official pretty skin main program morning.
INV191,2025-06-02,2025-06-16,254,Davis and Sons,aa61b32f-08e1-424e-b506-c24d8fff29f7,rachelparker@perez-watson.com,2547292842,05927 Wood Ford,c8022f8e-38de-4b6e-86c4-5e42955bc346,Monitor,1,300,300,100,54,0,31f55560-a42d-40f5-9baf-cc200e16af3f,Gregg Watson,david06@mack-gould.com,885474929,28140 Williamson Forges Suite 515,2025-06-08,150,PayPal,Partial,4dd85715-753f-43e2-b1fc-51368c68720e,AUD,Cultural base support quality whatever.
INV192,2025-06-05,2025-06-19,835,"Guzman, Hoffman and Baldwin",867a211a-de16-4c17-bd06-a17979803efa,mstewart@harding.com,5650455478,4266 Mary Rapid Apt. 234,07480379-3ea7-4419-a510-af65b0167db8,Laptop Stand,5,150,750,50,135,0,e8239943-7dec-4605-adeb-57f96acac954,Mrs. Toni Avila,ortizrobin@thompson-murray.org,3264870494,02447 Desiree Heights,2025-06-14,750,PayPal,Paid,31c77a44-64f8-4226-8304-81c2f9d09e26,EUR,Share manage wife out.
INV193,2025-06-05,2025-06-19,8310,Doyle Ltd,52965cf3-8b30-4b4c-aac9-6b60c0ac430a,ooneill@alvarez.net,4290257252,504 Moreno Club Apt. 219,4fc34759-5924-48ee-bac1-b4f90472f9f6,Tablet,10,700,7000,0,1260,50,ec6494e0-2198-4e3c-919f-cf311dd73f1f,Samantha Cohen,gina51@hotmail.com,2028457652,89888 Robert Club,2025-06-15,3500,Bank Transfer,Partial,90c97f00-7b01-4fdd-94c0-b9e05c9c4570,EUR,Catch kind would mission wide common.
INV194,2025-06-03,2025-06-17,666.4,Arnold Ltd,eb8b8c11-1fb0-4f34-8849-743618b475b1,walkermelissa@watts.com,2161107603,1401 Contreras Throughway,ac6c2e1b-708d-4094-af64-672f96e1a522,External HDD,4,120,480,0,86.4,100,b2b8d698-5dd0-455c-b986-f498b52f80c9,Laurie Gonzalez,davismeghan@yahoo.com,5289389119,2801 Samantha Vista,2025-06-13,480,PayPal,Paid,d087edcb-be94-41cb-875c-c8eb4dffc9aa,AUD,Congress great here Democrat.
INV195,2025-06-06,2025-06-20,374.8,"Rodriguez, Figueroa and Sanchez",15c2f297-ad30-43ce-a896-9e7085cd3384,david18@simpson.com,1571647947,3175 Alexander Spring Suite 167,ade05648-9ac6-4306-a1f4-3c2b2dd93719,HDMI Cable,6,60,360,100,64.8,50,f8d9bf33-06d9-43c0-ad98-73017f85c4e7,James Neal,calvinhester@gonzalez-anthony.biz,3674994657,71147 Hall Dale Apt. 101,2025-06-13,0,Cash,Unpaid,c2ebbaa2-1ce3-40ed-a857-07ac3a40fe39,INR,Check perform benefit baby seem should.
INV196,2025-06-04,2025-06-18,858.6,Blake and Sons,436d977b-6431-4bbe-8e44-c9dc81b61c87,qhenry@cooper.com,1675677002,2467 Ashley Overpass Suite 782,916baf87-6c27-416b-9d05-b827a863782e,Router,7,110,770,50,138.6,0,75fe2857-0991-446d-937c-64b089d5af23,Wesley Jensen MD,bryan90@gmail.com,5905616556,49114 Matthew Brooks,2025-06-11,770,Bank Transfer,Paid,4b26f0a3-33b1-4ca4-b74d-34f5caf07226,EUR,Top entire receive onto worry help hope.
INV197,2025-06-05,2025-06-19,374.8,"Mcclure, Ward and Lee",d2e08e57-a6cb-4dda-93a0-181bcbafd542,vazquezjamie@shaw-hubbard.com,9456371834,91919 Nelson Port Suite 635,dc352577-5193-412d-a906-d1186f75a3b2,Mouse,9,40,360,100,64.8,50,d8186112-4cde-4ddb-83f9-c78caf704164,Robert Reynolds,robertking@hotmail.com,8208297374,357 John Summit,2025-06-14,180,Bank Transfer,Partial,7d05121c-ceee-4d65-9904-8ca79291e493,GBP,Plant suffer environment expert.
INV198,2025-06-02,2025-06-16,354,Arnold Ltd,f480ada5-e68c-4348-9046-e3dfddfef849,richardwilson@johnson.info,8660324204,700 Lee Hills,5fecaa6e-8891-4cf5-bd88-23d20e512083,Charger,10,30,300,50,54,50,96e83922-dce7-4289-811a-315b688b4cfb,Jack Sandoval,uhahn@young.net,8984713915,3212 Tara Mill,2025-06-07,150,Bank Transfer,Partial,99ea5bbd-afd5-490b-81a6-7c90291c0da1,EUR,First interest radio white.
INV199,2025-06-04,2025-06-18,1770,"Mcclain, Miller and Henderson",c78a7900-d2bd-46ec-9481-13b4ddcf5003,thomas54@brewer.com,3486451837,1343 Ruth Roads Suite 604,214dc588-c35e-418a-a630-b287d4a39a51,Laptop Stand,10,150,1500,100,270,100,c481ea69-f83b-4029-b6ac-204884308e0c,Kaitlin Gutierrez,gmcdowell@gmail.com,8156985700,3459 Daniel Gateway,2025-06-11,0,Bank Transfer,Unpaid,2518ec09-efdd-4a87-88c6-21bee1228e75,INR,Rate society floor long same end reach step.
INV200,2025-06-03,2025-06-17,708,"Rodriguez, Figueroa and Sanchez",f2307c22-30c7-409b-b401-55bdb6ac1c8e,zrichardson@duffy-wilkerson.com,893173420,15291 Jennifer Mews Suite 713,0d574085-0f0a-4450-8e97-8ce118643b6a,Laptop Stand,4,150,600,50,108,50,12b3c5eb-4198-4029-98e1-d54cbc715183,Rachael Roberts,nanderson@hotmail.com,4362620443,710 Anderson Islands Suite 366,2025-06-10,600,Credit Card,Paid,159b2b6b-32db-4028-8823-debeccade92e,AUD,Use likely great paper provide soon.
